epoch,accuracy,loss,val_accuracy,val_loss
0,0.7580000162124634,0.7535377144813538,0.7162500023841858,0.6586694121360779
1,0.8429999947547913,0.39168116450309753,0.7975000143051147,0.5026864409446716
2,0.871999979019165,0.3413166105747223,0.9037500023841858,0.2594183683395386
3,0.8840000033378601,0.30704814195632935,0.8812500238418579,0.2987905442714691
4,0.9150000214576721,0.2106657326221466,0.8974999785423279,0.3514309227466583
5,0.9210000038146973,0.2242835909128189,0.8412500023841858,0.5294674038887024
6,0.9369999766349792,0.16576239466667175,0.9024999737739563,0.36584004759788513
7,0.9419999718666077,0.16182449460029602,0.9012500047683716,0.33567628264427185
8,0.9509999752044678,0.157005175948143,0.8912500143051147,0.42028677463531494
9,0.9639999866485596,0.11994016170501709,0.8899999856948853,0.4437198340892792
